Career,Interest Areas,Required Education,Required Skills,Related Roles,Popular Courses,Salary_HighSchool,Salary_Diploma,Salary_Bachelors,Salary_Masters,Salary_PhD,Image
Software Developer,Coding;Problem Solving;Product Development,Bachelor in STEM,Python;Java;DSA;OOP,Senior Software Engineer | Full Stack Developer,CS50x (Harvard);Meta Backend Developer (Coursera),300000,500000,850000,1050000,1200000,https://cdn-icons-png.flaticon.com/512/1055/1055687.png
Frontend Engineer,Design;Creativity;Web Development,Bachelor in STEM,HTML;CSS;JavaScript;React,UI Engineer | Full Stack Developer,Meta Front-End Certificate;React Nanodegree,280000,450000,800000,950000,1100000,https://cdn-icons-png.flaticon.com/512/9289/9289694.png
Backend Engineer,Problem Solving;Architecture;APIs,Bachelor in STEM,Java;Node.js;REST;SQL,Software Architect | Platform Engineer,Meta Backend Developer;REST API Design by Coursera,290000,480000,900000,1050000,1200000,https://cdn-icons-png.flaticon.com/512/2022/2022816.png
DevOps Engineer,Automation;System Design;Cloud,Bachelor in STEM,Docker;Kubernetes;CI/CD;Linux,Site Reliability Engineer | Cloud Engineer,Google DevOps Engineer;Docker & Kubernetes (Udemy),320000,550000,1000000,1200000,1350000,https://cdn-icons-png.flaticon.com/512/1048/1048949.png
Site Reliability Engineer,System Reliability;Monitoring;Infra,Bachelor in STEM,SRE Principles;IaC;Monitoring,SRE Architect | Senior DevOps Engineer,SRE Foundations by Google;Reliable Systems by Coursera,350000,580000,1100000,1300000,1450000,https://cdn-icons-png.flaticon.com/512/9798/9798996.png
DevSecOps Engineer,Security;Automation;CI/CD,Bachelor in STEM,DevOps + Security;Terraform;CI/CD,Security Engineer | Compliance Engineer,DevSecOps by Coursera;Security Automation,340000,570000,1050000,1250000,1400000,https://cdn-icons-png.flaticon.com/512/5997/5997519.png
Cloud Architect,Cloud Infrastructure;Scalability,Bachelor in STEM,AWS;Azure;GCP;Infrastructure as Code,Cloud Engineer | DevOps Architect,AWS Solutions Architect;Google Cloud Architect,400000,600000,1400000,1600000,1750000,https://cdn-icons-png.flaticon.com/512/9797/9797728.png
Data Scientist,Research;Math;Data Exploration,Bachelor in STEM,Python;SQL;ML;Statistics,ML Engineer | Data Analyst,IBM Data Science;Applied Data Science by Michigan,380000,550000,1200000,1400000,1550000,https://cdn-icons-png.flaticon.com/512/1055/1055646.png
Machine Learning Engineer,AI;Problem Solving;R&D,Bachelor in STEM,Python;TensorFlow;Deep Learning,AI Engineer | Data Scientist,TensorFlow Developer;Advanced ML by Google,390000,570000,1250000,1450000,1600000,https://cdn-icons-png.flaticon.com/512/3039/3039383.png
Data Analyst,Logic;Business;Data Storytelling,Bachelor in STEM or BBA,Excel;SQL;DataViz,BI Analyst | Business Analyst,Google Data Analytics;Data Analyst Bootcamp,250000,400000,700000,850000,1000000,https://cdn-icons-png.flaticon.com/512/3784/3784184.png
